location_id,date,mean,upper,lower,location_name
555,2020-04-04,0.721669795722807,0.803772259394947,0.642176221075182,New York
555,2020-04-05,0.708601897752437,0.78849929614838,0.631350258617108,New York
555,2020-04-06,0.698671355107496,0.778543095545895,0.623907263339646,New York
555,2020-04-07,0.691350139582118,0.768564193433983,0.615410746495474,New York
555,2020-04-08,0.686166765163431,0.765460796334754,0.61135558003384,New York
555,2020-04-09,0.682697947433633,0.76308313382879,0.609095048802811,New York
555,2020-04-10,0.680558800943813,0.759573601946747,0.603437870654401,New York
555,2020-04-11,0.679396088570023,0.755855662919948,0.600304030263161,New York
555,2020-04-12,0.678884193848571,0.754798841740413,0.600086447853199,New York
555,2020-04-13,0.678725554224746,0.756407997970362,0.601495054084381,New York
555,2020-04-14,0.678653933404029,0.757125818298942,0.602201230905041,New York
555,2020-04-15,0.678435425343887,0.756669579357799,0.60237561898697,New York
555,2020-04-16,0.677872284095619,0.761595338263024,0.6023466559307,New York
555,2020-04-17,0.676809274093594,0.759404441778222,0.601785803523299,New York
555,2020-04-18,0.675137362552185,0.7566246057194,0.602214311432592,New York
555,2020-04-19,0.672796821536189,0.752842675019284,0.601349434953669,New York
555,2020-04-20,0.66977819936994,0.750219552678783,0.597748936902837,New York
555,2020-04-21,0.666120568894967,0.748311892852207,0.593309371385469,New York
555,2020-04-22,0.661911305538813,0.744821816965423,0.587630753960487,New York
555,2020-04-23,0.657284176210981,0.739374938998463,0.582180587686384,New York
555,2020-04-24,0.652413695512132,0.734926655531639,0.577890011212554,New York
555,2020-04-25,0.647505487774623,0.729600366210361,0.571507193171922,New York
555,2020-04-26,0.642779709772639,0.723357681084825,0.564608623515463,New York
555,2020-04-27,0.63845838844478,0.714915247546978,0.559041487665351,New York
555,2020-04-28,0.634757380450014,0.711659168642474,0.55583563395808,New York
555,2020-04-29,0.631880761456448,0.710322691797948,0.551108352302283,New York
555,2020-04-30,0.630018742982835,0.708859071214461,0.549000173039446,New York
555,2020-05-01,0.629342353578524,0.708387049178306,0.5458516459968,New York
555,2020-05-02,0.629994669998377,0.709273432819795,0.545389995662265,New York
555,2020-05-03,0.632081951091235,0.709777693845028,0.54701221040849,New York
555,2020-05-04,0.635665772212457,0.715772161953677,0.547363734117353,New York
555,2020-05-05,0.640752626234931,0.721671931660624,0.546377270979573,New York
555,2020-05-06,0.647282223413152,0.729302330567215,0.555169040741531,New York
555,2020-05-07,0.655127942997205,0.738549046179917,0.561749746353295,New York
555,2020-05-08,0.664099675805328,0.748702603455017,0.568262762084434,New York
555,2020-05-09,0.673947049545893,0.76109322294115,0.576215880012734,New York
555,2020-05-10,0.684373143386553,0.773272554740259,0.588991185857605,New York
555,2020-05-11,0.695056467441126,0.7838316471835,0.597803958055237,New York
555,2020-05-12,0.705669520036924,0.795280512362703,0.610234598620433,New York
555,2020-05-13,0.71589756141586,0.807578402957758,0.621833218448891,New York
555,2020-05-14,0.725451431735844,0.818602659203036,0.630672678399361,New York
555,2020-05-15,0.734077734577389,0.825470019498943,0.639452136390297,New York
555,2020-05-16,0.741573018638435,0.831864590026842,0.65002215092047,New York
555,2020-05-17,0.747798011346993,0.83627966675534,0.658968124366609,New York
555,2020-05-18,0.752682228086227,0.837594407225856,0.665704425680036,New York
555,2020-05-19,0.756219258191397,0.838090322459764,0.672482221854748,New York
555,2020-05-20,0.75845493832132,0.842140087909622,0.678686278408384,New York
555,2020-05-21,0.759470575496794,0.840361981487452,0.680574082670295,New York
555,2020-05-22,0.75936187813258,0.837770718733533,0.682527899527223,New York
555,2020-05-23,0.758225820658109,0.838198091437404,0.682478657599842,New York
555,2020-05-24,0.756155726958697,0.840111290583294,0.679605921100335,New York
555,2020-05-25,0.753240727386022,0.835250330833416,0.676011490610137,New York
555,2020-05-26,0.749571920824778,0.832289979833965,0.672377381073319,New York
555,2020-05-27,0.745253992635715,0.830725668084229,0.667266939243276,New York
555,2020-05-28,0.740415168144554,0.825356524701289,0.662167738742846,New York
555,2020-05-29,0.735214047361081,0.819078777367597,0.657810328998956,New York
555,2020-05-30,0.729837727214328,0.813995959477198,0.651356903033563,New York
555,2020-05-31,0.724493095530768,0.807454246975555,0.64792525581097,New York
555,2020-06-01,0.719392067922887,0.799715039334937,0.641375962856189,New York
555,2020-06-02,0.714741999552252,0.792666930736871,0.636168086616242,New York
555,2020-06-03,0.710734748074663,0.78875617061482,0.633799653208576,New York
555,2020-06-04,0.707540864464307,0.784383245516418,0.629344627192936,New York
555,2020-06-05,0.70530798269171,0.78299350625963,0.627112765999729,New York
555,2020-06-06,0.704161519609132,0.782949316350355,0.622332933670193,New York
